ID,电影名称,评分,评价人数,短评数量,影评数量,片长,语言,类型,导演,制片国家/地区,上映日期,看过人数,想看人数,星级,五星,四星,三星,二星,一星
11130,一夜风流 It Happened One Night,8.8,54664,19077,212,105,英语,喜剧/爱情,弗兰克·卡普拉,美国,1934-02-22,73333,56531,4.5,0.504,0.406,0.085,0.004,0.001
11131,我的个神啊 PK,8.4,362324,90716,1157,139,印地语,喜剧/奇幻,拉吉库马尔·希拉尼,印度,2015-05-22,649267,108171,4.0,0.38799999999999996,0.457,0.139,0.013000000000000001,0.003
11132,银河护卫队3 Guardians of the Galaxy Vol. 3,8.5,137871,57631,591,150,英语,喜剧/动作/科幻/惊悚/冒险,詹姆斯·古恩,美国,2023-05-05,145852,124158,4.5,0.43,0.423,0.131,0.013999999999999999,0.003
11133,我的邻居山田君 ホーホケキョとなりの山田くん,8.8,52405,15453,182,104,日语,喜剧/动画/家庭,高畑勋,日本,1999-07-17,66415,48240,4.5,0.516,0.369,0.106,0.008,0.002
11134,极品基老伴：完结篇 Vicious Series Finale,9.4,23514,7101,24,47,英语,喜剧/同性,埃德·拜,英国,2016-06-19,29526,23291,4.5,0.7559999999999999,0.19899999999999998,0.04,0.003,0.003
11135,开罗紫玫瑰 The Purple Rose of Cairo,8.8,51891,21310,221,82,英语,喜剧/爱情/奇幻,伍迪·艾伦,美国,1985-03-01,64504,77229,4.5,0.483,0.425,0.085,0.006,0.001
11136,回到未来2 Back to the Future Part II,8.5,109487,16926,63,108,英语,喜剧/科幻/冒险,罗伯特·泽米吉斯,美国,1989-11-22,168501,24748,4.5,0.40299999999999997,0.462,0.125,0.008,0.002
11137,心理游戏 マインド・ゲーム,8.9,39890,15305,130,103,日语,喜剧/动画/悬疑/冒险,汤浅政明,日本,2004-08-07,48046,103207,4.5,0.5820000000000001,0.309,0.087,0.015,0.006999999999999999
11138,疯狂的赛车,8.3,373144,57648,889,104,汉语普通话,喜剧/动作/冒险,宁浩,中国大陆,2009-01-20,532047,43539,4.0,0.366,0.456,0.161,0.013999999999999999,0.003
11139,金枝玉叶 金枝玉葉,8.4,99966,26032,250,107,粤语,喜剧/爱情/同性,陈可辛,中国香港,1994-07-23,132313,70057,4.0,0.375,0.473,0.14300000000000002,0.006999999999999999,0.002
11140,天生一对 The Parent Trap,8.4,179461,38650,262,127,英语,喜剧/爱情/家庭/儿童,南希·迈耶斯,美国,1998-07-29,254675,76941,4.0,0.355,0.491,0.147,0.006,0.001
11141,鹿鼎记 鹿鼎記,8.3,328451,32866,114,110,粤语,喜剧/动作/武侠/古装,王晶,中国香港,1992-07-30,539253,34179,4.0,0.34600000000000003,0.474,0.168,0.009000000000000001,0.002
11142,查理和巧克力工厂 Charlie and the Chocolate Factory,8.3,491377,82893,858,115,英语,喜剧/奇幻/冒险,蒂姆·波顿,美国,2005-07-15,838793,66270,4.0,0.34700000000000003,0.46299999999999997,0.174,0.013999999999999999,0.002
11143,克劳斯：圣诞节的秘密 Klaus,8.7,55447,19480,114,96,英语,喜剧/动画/冒险,塞尔希奥·巴勃罗斯,西班牙,2019-11-08,67061,114095,4.5,0.489,0.40399999999999997,0.099,0.006,0.001
11144,宇宙探索编辑部,8.3,244208,120650,3261,118,汉语普通话,喜剧/科幻,孔大山,中国大陆,2023-04-01,262676,234427,4.0,0.384,0.439,0.138,0.025,0.013000000000000001
11145,回到未来3 Back to the Future Part III,8.5,95292,14993,74,118,英语,喜剧/科幻/西部/冒险,罗伯特·泽米吉斯,美国,1990-05-25,148934,25756,4.5,0.419,0.44299999999999995,0.127,0.008,0.002
11146,怪兽大学 Monsters University,8.3,360029,77854,490,104,英语,喜剧/动画/冒险,丹·斯坎隆,美国,2013-08-23,574886,64651,4.0,0.331,0.493,0.165,0.01,0.001
11147,里约大冒险 Rio,8.3,307738,74999,565,96,英语,喜剧/动画/冒险,卡洛斯·沙尔丹哈,美国,2011-04-08,465568,59361,4.0,0.33799999999999997,0.49200000000000005,0.161,0.008,0.001
11148,魔发奇缘 Tangled,8.3,263068,59464,488,100,英语,喜剧/动画/冒险,内森·格雷诺,美国,2011-02-03,446337,47753,4.0,0.33899999999999997,0.484,0.168,0.008,0.001
11149,冰川时代3 Ice Age: Dawn of the Dinosaurs,8.3,232174,27489,410,94,英语,喜剧/动画/冒险,卡洛斯·沙尔丹哈,美国,2009-07-08,460497,27440,4.0,0.326,0.51,0.155,0.008,0.001
11150,爱你，西蒙 Love  Simon,8.3,224122,70949,739,110,英语,喜剧/爱情/同性,格里格·伯兰蒂,美国,2018-03-16,309891,200237,4.0,0.344,0.474,0.16699999999999998,0.013000000000000001,0.003
11151,绅士们 The Gentlemen,8.3,220378,64217,437,113,英语,喜剧/动作/犯罪,盖·里奇,英国,2019-12-03,263852,189000,4.0,0.354,0.473,0.14400000000000002,0.017,0.012
11152,调音师 Andhadhun,8.2,919434,242007,3190,139,印地语,喜剧/悬疑/惊悚/犯罪,斯里兰姆·拉格万,印度,2019-04-03,1702520,276660,4.0,0.322,0.49,0.16699999999999998,0.018000000000000002,0.003
11153,小羊肖恩 Shaun the Sheep Movie,8.4,105387,33012,167,85,无对白,喜剧/动画/冒险,马克·伯顿,英国,2015-07-17,182927,50866,4.0,0.382,0.466,0.14,0.009000000000000001,0.002
11154,奇怪的她 수상한 그녀,8.3,180935,53340,566,124,韩语,喜剧/奇幻,黄东赫,韩国,2014-01-22,247370,66811,4.0,0.344,0.489,0.154,0.011000000000000001,0.002
11155,功夫熊猫 Kung Fu Panda,8.2,559524,60646,1531,95,英语,喜剧/动作/动画/冒险,马克·奥斯本,美国,2008-06-20,1041741,22151,4.0,0.301,0.508,0.179,0.01,0.002
11156,西力传 Zelig,9.0,28721,11582,100,79,英语,喜剧/奇幻,伍迪·艾伦,美国,1983-07-15,35261,125099,4.5,0.5760000000000001,0.344,0.07,0.006,0.003
11157,真实的谎言 True Lies,8.3,154557,23773,149,141,英语,喜剧/动作/惊悚,詹姆斯·卡梅隆,美国,1995-04-20,237682,45897,4.0,0.319,0.503,0.16699999999999998,0.009000000000000001,0.002
11158,星际宝贝 Lilo & Stitch,8.5,67143,11439,70,85,英语,喜剧/科幻/动画/家庭/冒险,克里斯·桑德斯,美国,2002-06-16,161686,22016,4.5,0.423,0.42700000000000005,0.139,0.009000000000000001,0.002
11159,黑衣人 Men in Black,8.2,330574,38184,140,98,英语,喜剧/动作/科幻,巴里·索南菲尔德,美国,1997-07-02,570657,40833,4.0,0.309,0.515,0.166,0.009000000000000001,0.001
11160,青春变形记 Turning Red,8.2,306306,113236,868,100,英语,喜剧/动画/奇幻/冒险,石之予,美国,2022-03-11,353046,121930,4.0,0.337,0.457,0.185,0.017,0.004
11161,马戏团 The Circus,9.2,22634,6161,41,71,英语,喜剧/爱情,查理·卓别林,美国,1928-01-06,33668,20384,4.5,0.665,0.292,0.04,0.002,0.001
11162,超人总动员 The Incredibles,8.2,295004,32707,161,115,英语,喜剧/动作/动画/冒险,布拉德·伯德,美国,2005-01-28,512342,28479,4.0,0.302,0.503,0.185,0.009000000000000001,0.001
11163,101忠狗 One Hundred and One Dalmatians,8.5,62421,8983,22,79,英语,喜剧/动画/家庭/冒险,克莱德·杰洛尼米,美国,1961-01-25,147771,14670,4.5,0.402,0.45399999999999996,0.138,0.005,0.001
11164,买凶拍人 買兇拍人,8.2,144073,34685,272,99,粤语,喜剧/动作/犯罪,彭浩翔,中国香港,2001-08-16,184854,62652,4.0,0.336,0.47100000000000003,0.166,0.021,0.006999999999999999
11165,辛普森一家 The Simpsons Movie,8.4,81865,15206,164,87,英语,喜剧/动画/冒险,大卫·西尔弗曼,美国,2007-07-27,126384,43136,4.0,0.39399999999999996,0.447,0.147,0.01,0.002
11166,冰川时代2：融冰之灾 Ice Age: The Meltdown,8.2,234975,20230,144,91,英语,喜剧/动画/冒险,卡洛斯·沙尔丹哈,美国,2006-06-09,487763,20835,4.0,0.28600000000000003,0.531,0.17300000000000001,0.009000000000000001,0.001
11167,犬之岛 Isle of Dogs,8.2,230491,71539,812,97,英语,喜剧/动画/冒险,韦斯·安德森,德国,2018-04-20,323047,141954,4.0,0.324,0.496,0.16399999999999998,0.013000000000000001,0.003
11168,猫的报恩 猫の恩返し,8.2,211913,34377,274,75,日语,喜剧/动画/奇幻/冒险,森田宏幸,日本,2002-07-19,311574,65305,4.0,0.325,0.469,0.192,0.013000000000000001,0.002
11169,摄影机不要停！ カメラを止めるな！,8.2,190089,71419,429,96,日语,喜剧/恐怖,上田慎一郎,日本,2017-11-04,251928,140222,4.0,0.332,0.475,0.161,0.024,0.009000000000000001
11170,热血警探 Hot Fuzz,8.2,184355,47416,381,121,英语,喜剧/悬疑/犯罪,埃德加·赖特,英国,2007-02-14,229384,82257,4.0,0.318,0.484,0.175,0.018000000000000002,0.005
11171,少林足球,8.1,408819,42025,283,113,粤语,喜剧/动作/运动,周星驰,中国香港,2001-07-12,673613,21505,4.0,0.324,0.433,0.21600000000000003,0.023,0.004
11172,食神,8.1,406796,43024,223,95,粤语,喜剧/动作,李力持,中国香港,1996-12-21,647185,28188,4.0,0.297,0.493,0.19699999999999998,0.012,0.002
11173,武状元苏乞儿 武狀元蘇乞兒,8.1,376529,33048,186,96,粤语,喜剧/动作/武侠/古装,陈嘉上,中国香港,1992-12-17,649669,18546,4.0,0.297,0.479,0.212,0.011000000000000001,0.002
11174,孝子贤孙伺候着,8.7,21116,5913,31,90,汉语普通话,喜剧,陈佩斯,中国大陆,1993,27367,20590,4.5,0.486,0.4,0.10300000000000001,0.008,0.003
11175,金玉满堂 金玉滿堂,8.2,96300,20605,110,106,粤语,喜剧/爱情,徐克,中国香港,1995-01-28,135651,36408,4.0,0.307,0.479,0.19899999999999998,0.012,0.002
11176,逃学威龙 逃學威龍,8.1,331029,32524,95,100,粤语,喜剧/动作/爱情,陈嘉上,中国香港,1991-07-18,586123,21750,4.0,0.297,0.479,0.21100000000000002,0.012,0.002
