ID,电影名称,评分,评价人数,短评数量,影评数量,片长,语言,类型,导演,制片国家/地区,上映日期,看过人数,想看人数,星级,五星,四星,三星,二星,一星
1,江湖医生 Šarlatán,7.5,2093,931,22,118,捷克语,剧情/同性/传记/历史,阿格涅丝卡·霍兰,爱尔兰,2020-02-27,2349,3829,4.0,0.157,0.48700000000000004,0.322,0.026000000000000002,0.008
2,蝴蝶梦 Rebecca,5.6,6108,2494,29,121,英语,剧情/爱情/悬疑/惊悚,本·维特利,英国,2020-10-21,7546,4690,3.0,0.044000000000000004,0.134,0.47600000000000003,0.282,0.064
3,夜关门：欲望之花 야관문 : 욕망의 꽃,5.4,7652,1908,33,93,韩语,剧情/爱情,林庆洙,韩国,2013-11-07,12934,4763,2.5,0.049,0.109,0.433,0.309,0.1
4,勇敢爱之末日来电,6.0,2414,360,1,19,汉语普通话,剧情/爱情,叶念琛,中国香港,2012-08-23,5196,591,3.0,0.098,0.156,0.462,0.196,0.087
5,下水井 맨홀,5.7,5540,1550,27,100,韩语,剧情/悬疑/惊悚,申载英,韩国,2014-10-08,7524,2479,3.0,0.06,0.14,0.46299999999999997,0.249,0.08800000000000001
6,柏林综合症 Berlin Syndrome,6.2,3797,1170,14,116,英语,剧情/悬疑/惊悚,凯特·绍特兰,澳大利亚,2017-01-20,4524,4835,3.0,0.059000000000000004,0.198,0.552,0.16699999999999998,0.024
7,沙海漂流人 The Rover,6.6,3028,1166,16,103,英语,剧情/犯罪,大卫·米奇欧德,澳大利亚,2014-05-18,4125,2953,3.5,0.08800000000000001,0.29100000000000004,0.465,0.132,0.025
8,一百零八,5.0,8574,5420,75,108,汉语普通话,剧情/爱情,孔嘉欢,中国大陆,2021-05-15,16239,4113,2.5,0.049,0.063,0.38,0.369,0.139
9,新奇 Newness,6.3,3562,1378,32,117,英语,剧情/爱情,德雷克·多雷穆斯,美国,2017-01-25,4238,4121,3.0,0.081,0.23800000000000002,0.47600000000000003,0.17600000000000002,0.03
10,天堂奇迹 Miracles From Heaven,7.6,2011,784,26,109,英语,剧情,派翠西亚·里根,美国,2016-03-16,2355,2340,4.0,0.247,0.355,0.345,0.037000000000000005,0.016
11,蜘蛛梦魇 Spider,7.2,2318,754,13,98,英语,剧情/悬疑,大卫·柯南伯格,加拿大,2002-05-21,2913,6337,3.5,0.129,0.441,0.365,0.053,0.013000000000000001
12,皮肤 Skin,7.2,2318,480,2,110,英语,剧情,盖·纳蒂弗,美国,2018-09-08,3542,5776,3.5,0.146,0.375,0.41200000000000003,0.052000000000000005,0.015
13,不忠者 Les Infidèles,6.3,3546,1494,10,109,法语,剧情/喜剧,让·杜雅尔丹,法国,2012-02-29,4475,5867,3.0,0.064,0.244,0.513,0.147,0.032
14,橘子 The Oranges,6.2,3768,1604,24,90,英语,剧情/喜剧/爱情,朱利安·法里诺,美国,2011-09-10,5635,2695,3.0,0.049,0.21100000000000002,0.5539999999999999,0.157,0.028999999999999998
15,低下层 どん底,7.4,2148,756,22,137,日语,剧情,黑泽明,日本,1957-09-17,2874,2621,3.5,0.192,0.4,0.349,0.048,0.01
16,亿万富翁 Kajillionaire,6.8,2735,1106,14,106,英语,剧情/犯罪,米兰达·裘丽,美国,2020-01-25,3221,3215,3.5,0.141,0.309,0.41,0.105,0.035
17,木星之卫 Jupiter holdja,6.3,3540,1728,26,123,匈牙利语,剧情/科幻,凯内尔·穆德卢佐,匈牙利,2017-05-19,4100,4935,3.0,0.054000000000000006,0.28300000000000003,0.475,0.152,0.035
18,梅格雷在蒙马特 Maigret in Montmartre,7.5,2070,427,3,89,英语,剧情/悬疑/犯罪,萨杜斯·奥沙利文,英国,2017-12-24,2465,1699,4.0,0.17300000000000001,0.434,0.345,0.044000000000000004,0.003
19,契卡 Чекист,7.4,2144,860,15,93,俄语,剧情,亚历山大·罗戈日金,俄罗斯,1992-09-12,2802,8427,3.5,0.191,0.42200000000000004,0.317,0.05,0.021
20,遗失在火中的记忆 Things We Lost in the Fire,7.3,2222,390,31,118,英语,剧情,苏珊娜·比尔,美国,2007-10-19,3493,2396,3.5,0.14800000000000002,0.41200000000000003,0.375,0.052000000000000005,0.013000000000000001
21,单刀直入 A Man Apart,6.1,4004,499,9,109,英语,剧情/动作/犯罪,F·加里·格雷,美国,2004-11-17,5257,1193,3.0,0.053,0.183,0.575,0.163,0.026000000000000002
22,感官新世界 SADA〜戯作・阿部定の生涯,6.6,3000,731,10,132,日语,剧情/传记,大林宣彦,日本,1998-02-21,4551,7237,3.5,0.095,0.275,0.494,0.109,0.027000000000000003
23,有种,5.7,3036,1355,47,93,汉语普通话,剧情/爱情,张元,中国大陆,2013-11-08,3788,2973,3.0,0.064,0.16899999999999998,0.414,0.252,0.10099999999999999
24,超级保镖,5.3,4776,1923,56,90,汉语普通话,剧情/动作,岳松,中国大陆,2016-07-15,10356,3702,2.5,0.07400000000000001,0.121,0.35200000000000004,0.292,0.161
25,假日惊情 A Bigger Splash,6.3,3524,1370,17,125,英语,剧情/悬疑/犯罪,卢卡·瓜达尼诺,意大利,2015-09-06,5256,6446,3.0,0.071,0.22399999999999998,0.501,0.17600000000000002,0.027999999999999997
26,唇语惊魂 Sur mes lèvres,7.2,2302,247,8,115,法语,剧情/爱情/惊悚/犯罪,雅克·欧迪亚,法国,2001-10-17,2444,2375,3.5,0.14400000000000002,0.40700000000000003,0.385,0.055,0.009000000000000001
27,二凤 Hai Phượng,5.6,5995,2615,50,98,越南语,剧情/动作,黎文杰,越南,2019-09-20,11286,4420,3.0,0.015,0.102,0.5710000000000001,0.27899999999999997,0.033
28,丑恶 Ugly,7.4,2135,810,10,128,印地语,剧情/悬疑/犯罪,阿努拉格·卡施亚普,印度,2013-05-17,2474,5192,3.5,0.125,0.512,0.318,0.039,0.006
29,完美的蛇颈龙之日 リアル 完全なる首長竜の日,6.0,4276,1979,15,126,日语,剧情/爱情/科幻,黑泽清,日本,2013-06-01,5218,3889,3.0,0.046,0.21,0.505,0.196,0.043
30,征服1453 Fetih 1453,5.8,4990,2095,77,162,土耳其语,剧情/动作/历史/战争/冒险,法鲁克.阿克苏伊,土耳其,2012-02-16,5837,3838,3.0,0.075,0.16399999999999998,0.43799999999999994,0.21899999999999997,0.105
31,印度艳后 Padmaavat,6.8,2716,1135,35,164,印地语,剧情/爱情/历史,桑杰·里拉·彭萨里,印度,2018-01-25,3103,3324,3.5,0.132,0.294,0.43200000000000005,0.10099999999999999,0.040999999999999995
32,喜剧 爱妻物语 喜劇 愛妻物語,7.2,2294,1034,5,118,日语,剧情/喜剧,足立绅,日本,2019-10-29,2634,3796,3.5,0.122,0.45,0.37200000000000005,0.04,0.016
33,限时单身 Maschile singolare,7.4,2127,874,5,101,意大利语,剧情/喜剧/爱情/同性,亚历山德罗·圭达,意大利,2021-06-04,2386,3566,3.5,0.172,0.414,0.35,0.052000000000000005,0.011000000000000001
34,火线反攻 Fire with Fire,5.5,6626,2067,25,95,英语,剧情/动作/犯罪,大卫·巴雷特,美国,2014-11-28,13310,1418,3.0,0.027999999999999997,0.098,0.518,0.299,0.057999999999999996
35,杀手烙印 殺しの烙印,7.4,2124,1029,13,98,日语,剧情/动作/惊悚/犯罪,铃木清顺,日本,1967-06-15,2693,3492,3.5,0.16399999999999998,0.444,0.325,0.051,0.015
36,两个女人 두여자,5.9,4576,1329,28,105,韩语,剧情/爱情,郑允秀,韩国,2010-11-18,7650,3483,3.0,0.049,0.161,0.541,0.205,0.045
37,生命的圆圈 دایره,7.5,2049,677,18,90,波斯语,剧情,贾法·帕纳西,伊朗,2000-09-08,2665,5933,4.0,0.146,0.494,0.326,0.028999999999999998,0.005
38,羊与狼的恋爱和杀人 羊とオオカミの恋と殺人,6.0,4241,1565,10,103,日语,剧情/悬疑/恐怖,朝仓加叶子,日本,2019-11-29,4866,4819,3.0,0.099,0.16399999999999998,0.451,0.223,0.063
39,踩虎尾的男人 虎の尾を踏む男達,7.4,2120,449,15,59,日语,剧情/惊悚/冒险,黑泽明,日本,1952-04-24,2672,1387,3.5,0.147,0.42100000000000004,0.395,0.033,0.003
40,森林深处 Into the Forest,6.1,3957,1415,21,101,英语,剧情/科幻,帕特丽夏·罗兹玛,加拿大,2015-09-12,5574,3713,3.0,0.064,0.201,0.49700000000000005,0.18899999999999997,0.05
41,挡不住的奇迹 That Thing You Do!,7.5,2043,399,5,108,英语,剧情/喜剧/音乐,汤姆·汉克斯,美国,1996-09-14,2584,2410,4.0,0.175,0.434,0.35100000000000003,0.032,0.008
42,食客 식객,6.4,3288,688,37,113,韩语,剧情/喜剧,田昀树,韩国,2007-11-01,4418,1062,3.0,0.07,0.231,0.547,0.136,0.018000000000000002
43,杀手·婚礼之路 キラー・ヴァージンロード,6.2,3698,1403,12,97,日语,剧情,岸谷五郎,日本,2009-09-12,5138,2265,3.0,0.067,0.233,0.484,0.17600000000000002,0.04
44,少年黑手党 La Paranza dei Bambini,7.2,2270,926,6,110,那不勒斯语,剧情/犯罪,克劳迪欧·吉瓦内斯,意大利,2019-02-12,2595,4929,3.5,0.1,0.43,0.42,0.045,0.005
45,他的 His,6.8,2681,1145,20,127,日语,剧情/同性,今泉力哉,日本,2020-01-24,3123,3004,3.5,0.12,0.299,0.455,0.10099999999999999,0.025
46,八四年夏天 Summer of 84,6.3,3467,1219,13,105,英语,剧情/惊悚/恐怖,弗朗索瓦·西玛德,加拿大,2018-01-22,3984,3070,3.0,0.066,0.21600000000000003,0.539,0.149,0.03
47,亿男 億男,6.3,3465,1425,18,116,日语,剧情,大友启史,日本,2018-10-19,4255,2599,3.0,0.076,0.21600000000000003,0.526,0.157,0.025
48,切勿擅动 No Sudden Move,6.5,3100,1074,11,115,英语,剧情/悬疑/惊悚/犯罪,史蒂文·索德伯格,美国,2021-06-18,3631,2471,3.5,0.067,0.28,0.489,0.145,0.019
49,我们 Sobre Nós,7.4,2104,877,10,73,葡萄牙语,剧情/爱情/同性,Mauro Carvalho,巴西,2021-06-18,2395,4198,3.5,0.214,0.373,0.337,0.064,0.012
50,单车上路 달려라 자전거,6.7,2803,670,24,88,韩语,剧情/爱情,林云成,韩国,2008-08-07,4473,1455,3.5,0.09,0.27,0.5489999999999999,0.08,0.012
51,交易 Trade,7.4,2103,353,18,120,英语,剧情/惊悚/犯罪,马可·克罗伊茨派因特纳,德国,2007-10-18,2734,5222,3.5,0.133,0.494,0.331,0.036000000000000004,0.006
52,尚格·云顿 JCVD,7.5,2030,315,28,97,法语,剧情/喜剧/动作/犯罪,Mabrouk El Mechri,比利时,2008-06-04,2585,1961,4.0,0.154,0.488,0.316,0.031,0.012
53,同性之光 Luster,7.1,2354,449,18,90,英语,剧情/喜剧/同性,艾维特·刘易斯,美国,2003-03-17,3273,7984,3.5,0.152,0.353,0.39899999999999997,0.085,0.011000000000000001
54,流入山谷 Down in the Valley,7.2,2263,736,25,108,英语,剧情/爱情/惊悚,David Jacobson,美国,2006-05-05,2844,3901,3.5,0.14,0.37200000000000005,0.426,0.054000000000000006,0.008
55,无名指 L' annulaire,7.2,2262,426,30,104,法语,剧情,黛安·伯特安德,法国,2005-06-08,3229,3738,3.5,0.136,0.40700000000000003,0.397,0.055999999999999994,0.004
56,比巧克力还甜 Better Than Chocolate,6.9,2557,378,7,101,英语,剧情/喜剧/爱情/同性,安 威勒 (Anne Wheeler),加拿大,1999-02-14,3751,3189,3.5,0.092,0.35200000000000004,0.473,0.067,0.016
57,颤涌 Órói,7.0,2447,977,10,95,冰岛语,剧情/同性,Baldvin Zophoniasson,冰岛,2010-08-27,2937,2987,3.5,0.128,0.34,0.451,0.07400000000000001,0.006999999999999999
58,全员单恋 全員、片想い,6.6,2930,1270,23,123,日语,剧情/爱情,饭塚健,日本,2016-07-02,4532,1988,3.5,0.084,0.292,0.5,0.106,0.018000000000000002
59,你好安妮 Bonjour Anne,7.2,2255,863,10,92,英语,剧情/喜剧/爱情,埃莉诺·科波拉,美国,2016-09-12,2976,2760,3.5,0.159,0.354,0.40700000000000003,0.068,0.011000000000000001
60,羊与钢的森林 羊と鋼の森,7.0,2441,1059,14,134,日语,剧情,桥本光二郎,日本,2018-06-08,2895,3161,3.5,0.128,0.32299999999999995,0.46399999999999997,0.073,0.012
61,天鹅绒圆锯 Velvet Buzzsaw,5.7,5310,2122,21,109,英语,剧情/悬疑/惊悚,丹·吉尔罗伊,美国,2019-01-27,6340,4835,3.0,0.038,0.154,0.47,0.285,0.053
62,白噪音 White Noise,6.1,3896,1888,16,136,英语,剧情/悬疑,诺亚·鲍姆巴赫,美国,2022-08-31,4669,9462,3.0,0.055,0.217,0.48100000000000004,0.198,0.05
63,禁食疑案 The Wonder,6.6,2920,1069,11,103,英语,剧情/悬疑/惊悚,塞巴斯蒂安·莱里奥,爱尔兰,2022-09-02,3363,3118,3.5,0.068,0.28800000000000003,0.524,0.096,0.024
64,青春梦里人 Presque rien,7.3,2164,472,12,100,法语,剧情/爱情/同性,Sébastien Lifshitz,法国,2000-06-07,2818,5117,3.5,0.14400000000000002,0.43200000000000005,0.38299999999999995,0.033,0.008
65,杀瓜,5.5,3583,1344,35,88,汉语普通话,剧情,高则豪,中国大陆,2017-07-22,7424,2421,3.0,0.052000000000000005,0.146,0.395,0.33399999999999996,0.073
66,决胜巅峰 When the Game Stands Tall,7.3,2162,465,7,115,英语,剧情/运动,托马斯·卡特,美国,2014-08-22,3168,2262,3.5,0.154,0.396,0.389,0.05,0.012
67,亲密旅行,5.2,5348,2124,48,96,汉语普通话,剧情/喜剧,沙溢,中国大陆,2019-10-03,14994,3714,2.5,0.035,0.071,0.45299999999999996,0.35,0.091
68,棒球少女 야구소녀,7.1,2333,969,9,105,韩语,剧情/运动,崔俊泰,韩国,2019-10-09,2765,3091,3.5,0.109,0.382,0.466,0.036000000000000004,0.006999999999999999
69,逃犯贝贝 Pépé le Moko,7.2,2241,308,7,94,法语,剧情/爱情/犯罪,朱利安·杜维威尔,法国,1937-01-28,3137,2170,3.5,0.121,0.41600000000000004,0.43200000000000005,0.022000000000000002,0.009000000000000001
70,爱与诚 愛と誠,6.3,3418,1902,13,133,日语,剧情/爱情/犯罪,三池崇史,日本,2012-06-16,4218,3789,3.0,0.087,0.23800000000000002,0.445,0.179,0.051
71,罪与罚 Rikos ja rangaistus,7.2,2236,965,12,93,芬兰语,剧情/犯罪,阿基·考里斯马基,芬兰,1983-12-02,2887,3059,3.5,0.128,0.382,0.45299999999999996,0.031,0.006
72,超乎想象 I Can Only Imagine,7.2,2235,805,17,110,英语,剧情/音乐,安德鲁·欧文,美国,2018-03-16,3105,2200,3.5,0.171,0.354,0.39899999999999997,0.061,0.015
73,陷阱：致命的诱惑 덫  치명적인 유혹,6.2,3621,943,19,107,韩语,剧情/爱情/惊悚,奉万大,韩国,2015-09-17,4457,9794,3.0,0.10400000000000001,0.18100000000000002,0.457,0.20800000000000002,0.05
74,不存在于记忆中 記憶にございません！,6.6,2897,1317,7,127,日语,剧情/喜剧,三谷幸喜,日本,2019-09-13,3343,2322,3.5,0.065,0.304,0.529,0.086,0.015
75,里卡多一家 Being the Ricardos,6.3,3405,1594,17,132,英语,剧情/传记,艾伦·索金,美国,2021-12-10,3868,4374,3.0,0.067,0.23399999999999999,0.519,0.151,0.027999999999999997
76,半世界,7.2,2231,1005,8,120,日语,剧情,阪本顺治,日本,2018-10-30,2582,3898,3.5,0.11,0.441,0.395,0.046,0.008
77,雪人 The Snowman,5.3,8190,3576,27,119,英语,剧情/悬疑/惊悚/犯罪,托马斯·阿尔弗莱德森,英国,2017-10-13,11510,9287,2.5,0.034,0.095,0.433,0.341,0.098
78,格林伯格 Greenberg,6.3,3401,1176,26,107,英语,剧情/喜剧,诺亚·鲍姆巴赫,美国,2010-02-14,4684,3496,3.0,0.055999999999999994,0.233,0.536,0.15,0.025
79,魔鬼小提琴家帕格尼尼 Der Teufelsgeiger,7.0,2413,1023,10,122,英语,剧情/音乐/传记,伯纳德·罗斯,德国,2013-11-07,3168,2658,3.5,0.13699999999999998,0.342,0.41100000000000003,0.09300000000000001,0.016
80,属于我们的圣诞节 Un conte de Noël,7.3,2145,750,22,150,法语,剧情/喜剧,阿诺·戴普勒尚,法国,2008-05-21,2994,6403,3.5,0.126,0.452,0.36200000000000004,0.052000000000000005,0.008
81,长牙 Tusk,5.6,5746,2141,19,102,英语,剧情/喜剧/恐怖,凯文·史密斯,美国,2014-09-19,6955,5482,3.0,0.055,0.13699999999999998,0.45,0.264,0.094
82,降神驱魔 The Exorcism of God,6.2,3604,1218,17,98,英语,剧情/恐怖,Alejandro Hidalgo,墨西哥,2021-09-27,4121,3297,3.0,0.059000000000000004,0.205,0.5379999999999999,0.158,0.039
83,沙漠骑兵 Hidalgo,7.4,2063,363,12,136,英语,剧情/动作/冒险,乔·庄斯顿,美国,2004-03-05,2622,1684,3.5,0.17,0.40700000000000003,0.375,0.039,0.008
84,天堂：爱 Paradies: Liebe,7.4,2062,913,18,120,德语,剧情,尤里西·塞德尔,德国,2012-05-18,2635,4544,3.5,0.132,0.478,0.34299999999999997,0.038,0.009000000000000001
85,浮沉洛杉矶 Going Down in LA-LA Land,6.5,3032,1038,13,104,英语,剧情/喜剧/爱情/同性,卡斯帕·安德瑞斯,美国,2012-04-20,3539,2179,3.5,0.09699999999999999,0.25,0.496,0.135,0.021
86,尸人庄杀人事件 屍人荘の殺人,5.7,5206,2507,19,120,日语,剧情/悬疑/惊悚/恐怖/犯罪,木村尚,日本,2019-12-13,5990,2497,3.0,0.053,0.145,0.466,0.27899999999999997,0.057
87,东京公园 東京公園,6.4,3196,1389,23,119,日语,剧情/爱情,青山真治,日本,2011-06-18,4608,3501,3.0,0.066,0.23399999999999999,0.529,0.155,0.016
88,我对青春无悔 わが青春に悔なし,7.3,2134,869,30,110,日语,剧情,黑泽明,日本,1946-10-29,2861,3264,3.5,0.14400000000000002,0.41700000000000004,0.39799999999999996,0.036000000000000004,0.006
89,好莱坞庄园 Hollywoodland,6.7,2739,664,24,126,英语,剧情/悬疑/惊悚/传记/历史/犯罪,艾伦·考特勒,美国,2006-08-31,4492,2916,3.5,0.083,0.27,0.564,0.075,0.008
90,欲望和智慧 Kama Sutra: A Tale of Love,6.8,2613,756,17,117,英语,剧情/爱情/历史/犯罪,米拉·奈尔,英国,1996-09-11,3636,3177,3.5,0.091,0.335,0.457,0.098,0.019
91,不列颠之战 Battle of Britain,7.4,2055,386,10,132,英语,剧情/历史/战争,盖伊·汉弥尔顿,英国,1969-09-16,2664,2325,3.5,0.152,0.462,0.345,0.037000000000000005,0.005
92,幸福中转栈,5.8,2613,32,0,90,汉语普通话,剧情/喜剧,周琦,中国大陆,2014-03-28,2613,554,3.0,0.26,0.2,0.12,0.04,0.38
93,断网 斷網,4.7,27745,12523,304,110,汉语普通话,剧情/动作/犯罪,黄庆勋,中国香港,2023-03-03,31576,14832,2.5,0.015,0.071,0.317,0.419,0.17800000000000002
94,站稳了 Stick It,7.2,2206,373,10,103,英语,剧情/喜剧/运动,杰茜卡·班汀吉尔,美国,2006-04-28,3111,2455,3.5,0.14,0.364,0.43799999999999994,0.05,0.008
95,燃烬八月 August,7.0,2387,913,29,100,英语,剧情/爱情/同性,Eldar Rapaport,美国,2011-06-09,2837,2955,3.5,0.124,0.366,0.41600000000000004,0.081,0.013000000000000001
96,交战规则 Rules of Engagement,7.3,2123,390,21,128,英语,剧情/动作/惊悚/战争,威廉·弗莱德金,美国,2000-03-31,2615,2277,3.5,0.125,0.469,0.35200000000000004,0.038,0.016
97,莫斯科2017 Branded,6.4,3170,1292,44,106,英语,剧情/悬疑/奇幻,Jamie Bradshaw,美国,2012-09-07,3810,1626,3.0,0.122,0.265,0.366,0.171,0.075
98,KIMI,6.2,3562,1496,8,89,英语,剧情/惊悚/犯罪,史蒂文·索德伯格,美国,2022-02-10,4127,3517,3.0,0.057,0.23399999999999999,0.516,0.157,0.036000000000000004
99,黑金杀机 The Counselor,5.2,9324,3689,46,117,英语,剧情/惊悚/犯罪,雷德利·斯科特,美国,2013-10-25,13471,7302,2.5,0.05,0.11599999999999999,0.35200000000000004,0.355,0.127
100,霹雳男儿 Days of Thunder,6.8,2596,489,3,107,英语,剧情/动作/爱情/运动,托尼·斯科特,美国,1990-06-27,3855,1688,3.5,0.10099999999999999,0.305,0.52,0.065,0.009000000000000001
101,花筐 花筐 HANAGATAMI,7.2,2198,1168,8,168,日语,剧情,大林宣彦,日本,2017-09-16,2691,8777,3.5,0.198,0.381,0.298,0.086,0.037000000000000005
102,编剧工坊 L'Atelier,7.2,2198,1049,24,113,法语,剧情,劳伦·冈泰,法国,2017-05-22,3142,4654,3.5,0.10099999999999999,0.461,0.373,0.051,0.013999999999999999
103,淹没 Submergence,6.2,3554,1551,32,112,英语,剧情/爱情/惊悚,维姆·文德斯,德国,2017-09-10,5260,4976,3.0,0.091,0.184,0.512,0.18100000000000002,0.033
104,旅途的结束，世界的开始 旅のおわり、世界のはじまり,6.5,2991,1695,20,120,日语,剧情,黑泽清,日本,2019-06-14,3468,4204,3.5,0.064,0.297,0.509,0.10300000000000001,0.027000000000000003
105,修复生命 Réparer les vivants,7.3,2110,909,19,111,法语,剧情,卡黛儿·基耶维蕾,法国,2016-09-04,2640,5270,3.5,0.146,0.44299999999999995,0.359,0.04,0.012
106,湿地 Feuchtgebiete,6.8,2585,1074,10,110,德语,剧情/爱情/情色,大卫·韦恩特,德国,2013-08-22,3155,3315,3.5,0.134,0.32,0.39399999999999996,0.11699999999999999,0.035
107,岁月自珍 Plan 75,7.2,2190,1024,15,112,他加禄语,剧情,早川千绘,日本,2022-05-20,2583,6533,3.5,0.13699999999999998,0.40399999999999997,0.395,0.055999999999999994,0.009000000000000001
108,我是你妈,4.8,14504,5266,146,104,汉语普通话,剧情/喜剧,张骁,中国大陆,2018-05-11,56724,4998,2.5,0.024,0.08800000000000001,0.316,0.392,0.179
109,天启四骑士 The Horsemen,5.2,9246,1841,97,90,英语,剧情/悬疑/惊悚/犯罪,乔纳斯·阿克伦德,加拿大,2009-03-06,12566,1488,2.5,0.023,0.087,0.46799999999999997,0.33299999999999996,0.08900000000000001
110,热血之路 ホットロード,6.0,4033,1856,17,119,日语,剧情,三木孝浩,日本,2014-08-16,4825,1944,3.0,0.086,0.17300000000000001,0.452,0.22899999999999998,0.06
111,冒名之肤 Passing,6.8,2578,961,13,98,英语,剧情,丽贝卡·豪尔,美国,2021-01-31,3089,3484,3.5,0.08199999999999999,0.33799999999999997,0.493,0.075,0.013000000000000001
112,无名的恋歌 BALLAD 名もなき恋のうた,6.4,3143,1016,18,132,日语,剧情/动作/爱情,山崎贵,日本,2009-09-05,3764,1512,3.0,0.087,0.22399999999999998,0.521,0.142,0.026000000000000002
113,倩女幽魂：人间情,4.7,26247,14969,275,96,汉语普通话,剧情/爱情/奇幻,林珍钊,中国大陆,2020-05-01,54530,4603,2.5,0.027999999999999997,0.061,0.32899999999999996,0.38299999999999995,0.19899999999999998
114,太他妈好相处了 Så jävla easy going,6.9,2454,1059,13,91,瑞典语,剧情/喜剧/同性,克里斯托弗·桑德勒,瑞典,2022-01-28,2877,4572,3.5,0.115,0.33399999999999996,0.469,0.068,0.013000000000000001
115,美丽密语 마리이야기,7.2,2170,391,21,79,韩语,剧情/动画/奇幻,李成康,韩国,2002-01-18,3430,3957,3.5,0.168,0.36200000000000004,0.39799999999999996,0.061,0.012
116,君子好逑 Marty,7.4,2016,769,15,90,英语,剧情/爱情,德尔伯特·曼,美国,1955-04-11,2516,4347,3.5,0.159,0.436,0.359,0.039,0.006999999999999999
117,放不下的情 想いのこし,7.4,2016,874,4,118,日语,剧情,平川雄一朗,日本,2014-11-22,2456,2093,3.5,0.175,0.42,0.36,0.04,0.006
118,鲁贝之灯 Roubaix  une lumière,6.5,2959,1485,15,119,法语,剧情/犯罪,阿诺·戴普勒尚,法国,2019-05-22,4757,5473,3.5,0.059000000000000004,0.285,0.518,0.11900000000000001,0.018000000000000002
119,戴安娜 Diana,6.0,3997,1537,25,113,英语,剧情/爱情/传记,奥利弗·希施比格尔,英国,2013-09-20,4966,4529,3.0,0.055,0.18100000000000002,0.53,0.196,0.037000000000000005
120,交涉 교섭,5.8,4645,1634,18,108,韩语,剧情/惊悚/犯罪,林顺礼,韩国,2023-01-18,5313,8022,3.0,0.052000000000000005,0.125,0.53,0.25,0.044000000000000004
121,跳跃大搜查线3 踊る大捜査線 THE MOVIE3 ヤツらを解放せよ!,6.9,2440,840,12,141,日语,剧情,本广克行,日本,2010-07-03,2963,814,3.5,0.128,0.304,0.47100000000000003,0.084,0.013000000000000001
122,笼中之鸟 Inside,6.1,3719,1253,11,105,英语,剧情,瓦西里斯·卡苏皮斯,比利时,2023-02-20,4398,3769,3.0,0.052000000000000005,0.204,0.544,0.165,0.036000000000000004
123,隔墙花 La femme d'à côté,7.1,2246,859,5,106,法语,剧情/爱情,弗朗索瓦·特吕弗,法国,1981-09-30,3007,5529,3.5,0.107,0.423,0.41100000000000003,0.049,0.01
124,天皇 Emperor,6.3,3285,1119,26,105,英语,剧情/历史/战争,彼得·韦柏,美国,2013-03-08,3858,2744,3.0,0.07400000000000001,0.243,0.504,0.139,0.039
125,江山美人,4.7,24891,3882,252,99,粤语,剧情/动作/爱情/战争,程小东,中国大陆,2008-02-09,48427,1304,2.5,0.019,0.055999999999999994,0.34,0.40299999999999997,0.182
126,我为什么命该如此？ ¿Qué he hecho yo para merecer esto？,7.4,2005,687,11,101,西班牙语,剧情/喜剧,佩德罗·阿莫多瓦,西班牙,1984-10-25,2717,4486,3.5,0.14400000000000002,0.469,0.348,0.03,0.009000000000000001
127,破碎之城 Broken City,5.7,5027,1563,17,109,英语,剧情/惊悚/犯罪,艾伦·休斯,美国,2013-01-18,8295,2459,3.0,0.027000000000000003,0.127,0.564,0.24600000000000002,0.036000000000000004
128,河豚,5.7,2791,1137,41,88,汉语普通话,剧情/爱情,李启源,中国台湾,2011-08-05,4047,1196,3.0,0.069,0.182,0.40399999999999997,0.23800000000000002,0.107
129,坠雪少女 Slalom,6.8,2531,875,12,92,法语,剧情,沙琳·法维耶,法国,2020-08-29,3003,4053,3.5,0.079,0.341,0.517,0.05,0.013999999999999999
130,战国妖姬 Senso,7.3,2065,874,14,123,意大利语,剧情/爱情/历史/战争,卢基诺·维斯康蒂,意大利,1954-09-02,2716,4014,3.5,0.133,0.45899999999999996,0.353,0.045,0.01
131,赛尔号大电影5：雷神崛起,5.4,3770,1946,41,90,汉语普通话,剧情/动画/儿童/冒险,王章俊,中国大陆,2015-07-23,9780,4270,2.5,0.147,0.121,0.256,0.218,0.259
132,死亡契约 The Contract,5.9,4233,864,19,96,英语,剧情/动作/惊悚/犯罪,布鲁斯·贝尔斯福德,德国,2006-10-09,7452,1330,3.0,0.038,0.153,0.581,0.193,0.035
133,塞西亚：复仇之剑 Скиф,6.8,2518,851,14,105,俄语,剧情/动作/奇幻,拉斯塔姆·莫沙菲尔,俄罗斯,2018-01-18,4173,2005,3.5,0.10099999999999999,0.32799999999999996,0.465,0.08800000000000001,0.018000000000000002
134,无赖汉 무뢰한,6.2,3444,1167,25,118,韩语,剧情/爱情/犯罪,吴胜旭,韩国,2015-05-27,4357,2871,3.0,0.08900000000000001,0.20600000000000002,0.465,0.193,0.047
135,死人的复仇 Dead Man Down,6.0,3923,1264,12,118,英语,剧情/动作/犯罪,涅尔斯·阿登·欧普勒夫,美国,2013-03-08,4643,1368,3.0,0.039,0.159,0.573,0.19699999999999998,0.032
136,20岁的微热 二十才の微熱,7.3,2056,826,12,114,日语,剧情/爱情/同性,桥口亮辅,日本,1993-09-04,2473,4253,3.5,0.166,0.405,0.361,0.055,0.013000000000000001
